id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,10,180,0,2,0,0
1,Tarapacá,10,114,0,0,0,0
2,Antofagasta,35,326,1,2,0,0
3,Atacama,0,13,0,0,0,0
4,Coquimbo,1,70,0,0,0,0
5,Valparaiso,18,421,1,7,0,0
13,Metropolitana,295,6083,9,78,0,0
6,O’Higgins,2,59,0,1,0,0
7,Maule,12,328,0,10,0,0
16,Ñuble,9,703,0,13,0,0
8,Biobío,22,658,1,5,0,0
9,Araucanía,21,1113,1,26,0,0
14,Los Ríos,4,171,0,3,0,0
10,Los Lagos,13,445,0,6,0,0
11,Aysén,0,7,0,0,0,0
12,Magallanes,12,605,0,7,0,0
