id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,2,0,0,0,0
1,Tarapacá,1,1,0,0,0,0
2,Antofagasta,0,11,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,1,6,0,0,0,0
5,Valparaiso,3,19,0,0,0,0
13,Metropolitana,50,459,0,0,0,0
6,O’Higgins,0,8,0,0,0,0
7,Maule,3,28,0,0,0,0
16,Ñuble,17,81,0,0,0,0
8,Biobío,11,46,0,0,0,0
9,Araucanía,13,40,0,0,0,0
14,Los Ríos,3,4,0,0,0,0
10,Los Lagos,10,33,0,0,0,0
11,Aysén,0,1,0,0,0,0
12,Magallanes,2,6,0,0,0,0
