id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,3,268,0,3,0,0
1,Tarapaca,5,169,0,1,0,0
2,Antofagasta,24,481,0,4,0,0
3,Atacama,0,35,0,0,0,0
4,Coquimbo,0,74,0,0,0,0
5,Valparaiso,8,493,1,10,0,0
13,Metropolitana,442,8300,5,100,0,0
6,OHiggins,3,97,0,1,0,0
7,Maule,21,384,0,12,0,0
16,Nuble,6,747,0,14,0,0
8,Biobio,3,709,1,7,0,0
9,Araucania,15,1251,0,32,0,0
14,Los Rios,0,180,1,4,0,0
10,Los Lagos,0,477,1,9,0,0
11,Aysen,0,7,0,0,0,0
12,Magallanes,22,693,0,10,0,0
