id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,819,37,33,4,9,0,0,0
1,Tarapacá,3094,129,104,25,30,2,0,0
2,Antofagasta,3033,109,105,4,47,5,0,0
3,Atacama,281,12,11,1,0,0,0,0
4,Coquimbo,898,66,53,13,5,0,0,0
5,Valparaíso,4580,314,295,19,91,3,0,0
13,Metropolitana,103194,4128,3945,183,1184,79,0,0
6,O’Higgins,1111,95,85,10,25,3,0,0
7,Maule,1969,135,87,48,24,0,0,0
16,Ñuble,1470,41,34,7,24,0,0,0
8,Biobío,2490,111,83,28,13,0,0,0
9,Araucanía,2321,33,26,7,49,1,0,0
14,Los Ríos,400,10,3,7,8,0,0,0
10,Los Lagos,985,17,15,2,13,0,0,0
11,Aysén,19,0,0,0,0,0,0,0
12,Magallanes,1081,9,9,0,19,0,0,0
