id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,6375,45,40,4,100,0,5.702,0
1,Tarapacá,10465,38,24,9,196,0,9.738,0
2,Antofagasta,17683,86,45,33,428,0,16.469,0
3,Atacama,5375,28,20,8,40,0,4.677,0
4,Coquimbo,9451,121,101,20,119,0,8.247,0
5,Valparaíso,21846,141,103,31,652,0,19.853,0
13,RM,271016,357,241,101,8402,0,258.015,0
6,O’Higgins,12974,93,72,20,324,0,11.949,0
7,Maule,11267,95,73,22,254,0,10.230,0
16,Ñuble,4414,70,47,11,75,0,3.932,0
8,Biobío,16042,140,103,34,191,0,13.958,0
9,Araucanía,4989,27,16,3,92,0,4.621,0
14,Los Ríos,1068,3,2,1,15,0,1.003,0
10,Los Lagos,6221,64,49,13,66,0,5.475,0
11,Aysén,110,4,2,2,1,0,98,0
12,Magallanes,3004,59,55,4,34,0,2.237,0
