id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,1,1,0,0,0,0
1,Tarapacá,0,0,0,0,0,0
2,Antofagasta,0,2,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,2,2,0,0,0,0
5,Valparaíso,3,4,0,0,0,0
13,Metropolitana,73,247,0,0,0,0
6,O’Higgins,2,2,0,0,0,0
7,Maule,3,14,0,0,0,0
16,Ñuble,2,28,0,0,0,0
8,Biobío,7,14,0,0,0,0
9,Araucanía,3,7,0,0,0,0
14,Los Ríos,0,1,0,0,0,0
10,Los Lagos,8,16,0,0,0,0
11,Aysén,0,1,0,0,0,0
12,Magallanes,0,2,0,0,0,0
