id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,2,6,0,0,0,0
1,Tarapacá,2,8,0,0,0,0
2,Antofagasta,8,35,0,0,0,0
3,Atacama,0,2,0,0,0,0
4,Coquimbo,9,27,0,0,0,0
5,Valparaiso,28,108,0,0,0,0
13,Metropolitana,128,1295,0,3,0,0
6,O’Higgins,0,21,0,0,0,0
7,Maule,12,54,1,1,0,0
16,Ñuble,32,229,0,0,0,0
8,Biobío,16,201,0,2,0,0
9,Araucanía,42,247,0,2,0,0
14,Los Ríos,7,47,0,0,0,0
10,Los Lagos,24,128,0,0,0,0
11,Aysén,0,2,0,0,0,0
12,Magallanes,0,39,0,0,0,0
