id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,3,0,0,0,0
1,Tarapacá,0,5,0,0,0,0
2,Antofagasta,1,21,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,1,14,0,0,0,0
5,Valparaíso,5,49,0,0,0,0
13,Metropolitana,192,938,0,3,0,0
6,O’Higgins,2,16,0,0,0,0
7,Maule,1,32,0,0,0,0
16,Ñuble,30,144,0,0,0,0
8,Biobío,26,135,1,2,0,0
9,Araucanía,32,143,0,0,0,0
14,Los Ríos,8,22,0,0,0,0
10,Los Lagos,3,63,0,0,0,0
11,Aysén,0,2,0,0,0,0
12,Magallanes,3,22,0,0,0,0
