id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,377,9,7,2,7,0,0,0
1,Tarapacá,845,66,51,15,2,0,0,0
2,Antofagasta,1429,98,71,27,12,0,0,0
3,Atacama,146,3,3,0,0,0,0,0
4,Coquimbo,187,7,0,7,2,1,0,0
5,Valparaíso,1365,53,33,20,28,1,0,0
13,Metropolitana,30794,1518,1319,199,246,25,0,0
6,O’Higgins,329,6,6,0,5,0,0,0
7,Maule,551,11,9,2,14,0,0,0
16,Ñuble,921,36,14,22,20,0,0,0
8,Biobío,1074,38,29,9,9,0,0,0
9,Araucanía,1587,23,16,7,43,0,0,0
14,Los Ríos,219,0,0,0,6,0,0,0
10,Los Lagos,644,3,3,0,11,0,0,0
11,Aysén,8,0,0,0,0,0,0,0
12,Magallanes,952,15,12,3,16,0,0,0
