id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,398,20,18,2,7,0,0,0
1,Tarapacá,1056,81,73,8,4,0,0,0
2,Antofagasta,1589,84,70,14,14,1,0,0
3,Atacama,157,8,5,3,0,0,0,0
4,Coquimbo,212,18,13,5,2,0,0,0
5,Valparaíso,1553,79,70,9,30,1,0,0
13,Metropolitana,34451,1767,1596,171,294,24,0,0
6,O’Higgins,418,52,33,19,6,1,0,0
7,Maule,602,29,23,6,14,0,0,0
16,Ñuble,985,43,37,6,21,1,0,0
8,Biobío,1144,45,40,5,9,0,0,0
9,Araucanía,1639,33,28,5,44,0,0,0
14,Los Ríos,224,4,3,1,6,0,0,0
10,Los Lagos,652,5,1,4,11,0,0,0
11,Aysén,8,0,0,0,0,0,0,0
12,Magallanes,971,10,8,2,16,0,0,0
