id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,5,120,0,1,0,0
1,Tarapacá,10,62,0,0,0,0
2,Antofagasta,6,155,0,1,0,0
3,Atacama,0,13,0,0,0,0
4,Coquimbo,0,66,0,0,0,0
5,Valparaiso,12,285,0,2,0,0
13,Metropolitana,283,4086,4,40,0,0
6,O’Higgins,5,53,0,0,0,0
7,Maule,1,142,1,4,0,0
16,Ñuble,4,622,1,8,0,0
8,Biobío,16,528,0,2,0,0
9,Araucanía,21,816,3,20,0,0
14,Los Ríos,10,148,0,3,0,0
10,Los Lagos,5,385,0,5,0,0
11,Aysén,0,7,0,0,0,0
12,Magallanes,14,429,1,6,0,0
