id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,1,4,0,0,0,0
1,Tarapacá,1,6,0,0,0,0
2,Antofagasta,2,27,0,0,0,0
3,Atacama,1,2,0,0,0,0
4,Coquimbo,3,18,0,0,0,0
5,Valparaiso,9,80,0,0,0,0
13,Metropolitana,83,1167,0,3,0,0
6,O’Higgins,1,21,0,0,0,0
7,Maule,5,42,0,0,0,0
16,Ñuble,25,197,0,0,0,0
8,Biobío,34,185,0,2,0,0
9,Araucanía,28,205,1,2,0,0
14,Los Ríos,13,40,0,0,0,0
10,Los Lagos,11,104,0,0,0,0
11,Aysén,0,2,0,0,0,0
12,Magallanes,13,39,0,0,0,0
