id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,12,75,0,0,0,0
1,Tarapacá,3,29,0,0,0,0
2,Antofagasta,15,92,0,1,0,0
3,Atacama,2,10,0,0,0,0
4,Coquimbo,5,61,0,0,0,0
5,Valparaíso,5,230,0,2,0,0
13,Metropolitana,284,2832,7,21,0,0
6,O’Higgins,1,44,0,0,0,0
7,Maule,9,128,0,2,0,0
16,Ñuble,10,571,1,6,0,0
8,Biobío,21,460,0,2,0,0
9,Araucanía,20,689,1,16,0,0
14,Los Ríos,4,118,0,2,0,0
10,Los Lagos,15,340,0,2,0,0
11,Aysén,0,7,0,0,0,0
12,Magallanes,20,286,0,3,0,0
