id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,6,0,0,0,0
1,Tarapacá,0,10,0,0,0,0
2,Antofagasta,4,39,0,0,0,0
3,Atacama,1,3,0,0,0,0
4,Coquimbo,2,30,0,0,0,0
5,Valparaíso,21,136,0,1,0,0
13,Metropolitana,101,1521,1,5,0,0
6,O’Higgins,3,26,0,0,0,0
7,Maule,9,71,0,1,0,0
16,Ñuble,14,259,0,0,0,0
8,Biobío,24,240,0,2,0,0
9,Araucanía,41,343,2,6,0,0
14,Los Ríos,6,64,1,1,0,0
10,Los Lagos,30,181,0,0,0,0
11,Aysén,1,3,0,0,0,0
12,Magallanes,36,99,0,0,0,0
