id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,297,18,13,5,4,0,0,0
1,Tarapacá,200,2,0,2,1,0,0,0
2,Antofagasta,589,43,37,6,7,2,0,0
3,Atacama,43,0,0,0,0,0,0,0
4,Coquimbo,77,1,0,1,0,0,0,0
5,Valparaíso,568,9,4,5,12,0,0,0
13,Metropolitana,10516,891,812,79,114,4,0,0
6,O’Higgins,109,1,1,0,1,0,0,0
7,Maule,394,1,1,0,13,0,0,0
16,Ñuble,768,0,0,0,14,0,0,0
8,Biobío,729,2,0,2,7,0,0,0
9,Araucanía,1295,2,0,2,36,1,0,0
14,Los Ríos,189,0,0,0,4,0,0,0
10,Los Lagos,501,14,13,1,10,0,0,0
11,Aysén,7,0,0,0,0,0,0,0
12,Magallanes,726,1,1,0,11,0,0,0
