id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,6,0,0,0,0
1,Tarapacá,2,10,0,0,0,0
2,Antofagasta,0,35,0,0,0,0
3,Atacama,0,2,0,0,0,0
4,Coquimbo,1,28,0,0,0,0
5,Valparaíso,7,115,1,1,0,0
13,Metropolitana,125,1420,1,4,0,0
6,O’Higgins,2,23,0,0,0,0
7,Maule,8,62,0,1,0,0
16,Ñuble,16,245,0,0,0,0
8,Biobío,15,216,0,2,0,0
9,Araucanía,55,302,2,4,0,0
14,Los Ríos,11,58,0,0,0,0
10,Los Lagos,23,151,0,0,0,0
11,Aysén,0,2,0,0,0,0
12,Magallanes,24,63,0,0,0,0
