id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,5,134,1,2,0,0
1,Tarapacá,7,73,0,0,0,0
2,Antofagasta,19,211,0,1,0,0
3,Atacama,0,13,0,0,0,0
4,Coquimbo,0,68,0,0,0,0
5,Valparaíso,15,345,0,4,0,0
13,Metropolitana,233,4915,3,51,0,0
6,O’Higgins,1,55,0,0,0,0
7,Maule,56,223,3,7,0,0
16,Ñuble,17,656,1,11,0,0
8,Biobío,19,578,1,3,0,0
9,Araucanía,25,907,1,22,0,0
14,Los Ríos,1,154,0,3,0,0
10,Los Lagos,13,412,1,6,0,0
11,Aysén,0,7,0,0,0,0
12,Magallanes,34,501,0,6,0,0
