id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,1,0,0,0,0
1,Tarapacá,0,0,0,0,0,0
2,Antofagasta,4,10,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,0,3,0,0,0,0
5,Valparaiso,8,13,0,0,0,0
13,Metropolitana,55,359,0,0,0,0
6,O’Higgins,1,7,0,0,0,0
7,Maule,1,15,0,0,0,0
16,Ñuble,14,58,0,0,0,0
8,Biobío,11,30,0,0,0,0
9,Araucanía,6,15,0,0,0,0
14,Los Ríos,0,1,0,0,0,0
10,Los Lagos,2,20,0,0,0,0
11,Aysén,0,1,0,0,0,0
12,Magallanes,1,3,0,0,0,0
