id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,2,0,0,0,0
1,Tarapacá,0,4,0,0,0,0
2,Antofagasta,6,19,0,0,0,0
3,Atacama,0,1,0,0,0,0
4,Coquimbo,1,12,0,0,0,0
5,Valparaiso,7,32,0,0,0,0
13,Metropolitana,142,682,2,2,0,0
6,O’Higgins,2,11,0,0,0,0
7,Maule,1,30,0,0,0,0
16,Ñuble,6,111,0,0,0,0
8,Biobío,22,95,1,1,0,0
9,Araucanía,15,74,0,0,0,0
14,Los Ríos,5,11,0,0,0,0
10,Los Lagos,8,44,0,0,0,0
11,Aysén,0,1,0,0,0,0
12,Magallanes,5,13,0,0,0,0
