id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,318,3,3,0,5,1,0,0
1,Tarapacá,339,17,13,4,1,0,0,0
2,Antofagasta,855,44,28,16,7,0,0,0
3,Atacama,80,2,0,2,0,0,0,0
4,Coquimbo,97,0,0,0,0,0,0,0
5,Valparaíso,716,29,24,5,16,1,0,0
13,Metropolitana,15582,875,784,91,150,4,0,0
6,O’Higgins,145,9,8,1,3,0,0,0
7,Maule,408,0,0,0,13,0,0,0
16,Ñuble,791,2,1,1,17,0,0,0
8,Biobío,789,15,12,3,8,0,0,0
9,Araucanía,1362,10,0,10,36,0,0,0
14,Los Ríos,200,1,1,0,4,0,0,0
10,Los Lagos,541,16,11,5,10,0,0,0
11,Aysén,7,0,0,0,0,0,0,0
12,Magallanes,818,9,8,1,11,0,0,0
