id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,654,18,18,0,8,0,0,0
1,Tarapacá,2594,68,60,8,23,1,0,0
2,Antofagasta,2649,64,58,6,34,2,0,0
3,Atacama,236,4,3,1,0,0,0,0
4,Coquimbo,687,19,17,2,2,0,0,0
5,Valparaíso,3595,247,227,20,72,2,0,0
13,Metropolitana,88194,2955,2698,257,894,70,0,0
6,O’Higgins,843,30,24,6,18,0,0,0
7,Maule,1381,40,36,4,17,0,0,0
16,Ñuble,1290,0,0,0,23,0,0,0
8,Biobío,2082,12,12,0,11,0,0,0
9,Araucanía,2141,30,21,9,47,0,0,0
14,Los Ríos,368,5,5,0,7,0,0,0
10,Los Lagos,894,31,24,7,13,0,0,0
11,Aysén,18,1,0,1,0,0,0,0
12,Magallanes,1060,3,3,0,19,0,0,0
