id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
15,Arica y Parinacota,619,31,25,6,7,0,0,0
1,Tarapacá,2361,111,86,25,21,3,0,0
2,Antofagasta,2510,81,61,20,31,2,0,0
3,Atacama,218,3,3,0,0,0,0,0
4,Coquimbo,628,31,23,8,2,0,0,0
5,Valparaíso,3167,130,117,13,66,3,0,0
13,Metropolitana,80504,4253,3964,289,775,47,0,0
6,O’Higgins,785,29,27,2,18,2,0,0
7,Maule,1297,41,30,11,15,0,0,0
16,Ñuble,1257,1,1,0,23,0,0,0
8,Biobío,1979,91,76,15,11,0,0,0
9,Araucanía,2071,11,11,0,47,0,0,0
14,Los Ríos,356,11,7,4,6,0,0,0
10,Los Lagos,863,3,3,0,13,0,0,0
11,Aysén,17,1,1,0,0,0,0,0
12,Magallanes,1056,2,2,0,19,0,0,0
