id_region,nombre_region,casos_nuevos,casos_totales,fallecidos_totales,fallecidos_nuevos,recuperados_nuevos,recuperados_totales
15,Arica y Parinacota,0,12,0,0,0,0
1,Tarapacá,4,17,0,0,0,0
2,Antofagasta,1,55,0,0,0,0
3,Atacama,0,5,0,0,0,0
4,Coquimbo,9,44,0,0,0,0
5,Valparaíso,9,185,1,0,0,0
13,Metropolitana,215,1957,9,1,0,0
6,O’Higgins,5,38,0,0,0,0
7,Maule,8,97,1,0,0,0
16,Ñuble,31,401,2,1,0,0
8,Biobío,45,347,2,0,0,0
9,Araucanía,45,477,9,2,0,0
14,Los Ríos,11,89,1,0,0,0
10,Los Lagos,25,259,0,0,0,0
11,Aysén,0,6,0,0,0,0
12,Magallanes,16,172,2,1,0,0
