id_region,nombre_region,id_comuna,nombre_comuna,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15
1,Tarapaca,1101,Iquique,4.922515136734045,3.5800110085338512,4.475013760667315,4.475013760667315,12.97753990593521,17.005052290535794,17.452553666602526,28.19258669220408,75.62773255527762,92.18528346974666,131.11790318755232
1,Tarapaca,1107,Alto Hospicio,6.153893491488396,6.153893491488396,5.384656805052347,11.538550296540743,14.61549704228494,20.769390533773336,29.23099408456988,60.00046154201186,71.53901183855261,72.30824852498866,90.76992899945384
1,Tarapaca,1401,Pozo Almonte,11.497556769186549,11.497556769186549,0.0,0.0,0.0,0.0,0.0,5.748778384593274,11.497556769186549,17.24633515377982,17.24633515377982
1,Tarapaca,1402,Camiña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Tarapaca,1403,Colchane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Tarapaca,1404,Huara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,233.33333333333334,233.33333333333334
1,Tarapaca,1405,Pica,151.05740181268882,285.3306478684122,352.46727089627393,285.3306478684122,218.19402484055053,151.05740181268882,0.0,0.0,50.35246727089628,67.1366230278617,67.1366230278617
2,Antofagasta,2101,Antofagasta,11.509777438487287,12.684244524047212,14.563391860943097,20.200833871630746,28.42210347055024,32.88507839567796,37.1131599036937,47.213576839509074,55.199953021316574,52.85101885019672,69.5284514651477
2,Antofagasta,2102,Mejillones,74.4450460205739,87.98050893340552,94.74824038982133,121.81916621548457,203.0319436924743,257.17379534380075,250.40606388738493,561.7217108825122,534.6507850568489,507.5798592311857,277.47698971304817
2,Antofagasta,2103,Sierra Gorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5475372279496,114.5475372279496,286.368843069874
2,Antofagasta,2104,Taltal,21.96675697444534,36.61126162407557,36.61126162407557,36.61126162407557,29.289009299260453,0.0,0.0,7.322252324815113,7.322252324815113,7.322252324815113,58.578018598520906
2,Antofagasta,2201,Calama,6.304640215198386,5.77925353059852,5.2538668459986555,5.2538668459986555,4.72848016139879,13.134667114996637,17.33776059179556,19.439307330195025,16.812373907195695,17.33776059179556,29.947041022192337
2,Antofagasta,2202,Ollagüe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Antofagasta,2203,San Pedro de Atacama,9.584052137243626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Antofagasta,2301,Tocopilla,3.561380391039567,10.6841411731187,28.491043128316537,14.245521564158269,3.561380391039567,0.0,3.561380391039567,7.122760782079134,7.122760782079134,10.6841411731187,21.3682823462374
2,Antofagasta,2302,María Elena,14.6756677428823,29.3513354857646,58.7026709715292,88.05400645729381,102.7296742001761,117.4053419430584,352.21602582917524,352.21602582917524,366.89169357205753,308.18902260052835,454.9457000293513
3,Atacama,3101,Copiapó,2.910936972392674,2.910936972392674,2.910936972392674,2.328749577914139,0.0,0.0,6.404061339263882,15.136872256441903,18.62999662331311,25.034057962576995,20.95874620122725
3,Atacama,3102,Caldera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.147740142077628,5.147740142077628,15.443220426232884,15.443220426232884
3,Atacama,3103,Tierra Amarilla,27.94857462269424,27.94857462269424,27.94857462269424,13.97428731134712,0.0,6.98714365567356,13.97428731134712,27.94857462269424,13.97428731134712,83.84572386808273,90.83286752375629
3,Atacama,3201,Chañaral,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Atacama,3202,Diego de Almagro,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.964758322886196,6.964758322886196,13.929516645772392,6.964758322886196
3,Atacama,3301,Vallenar,0.0,0.0,0.0,0.0,12.278763002332964,21.049308003999368,21.049308003999368,24.557526004665927,22.803417004332648,33.32807100633233,26.31163500499921
3,Atacama,3302,Alto del Carmen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Atacama,3303,Freirina,0.0,0.0,0.0,0.0,0.0,13.019138133055591,13.019138133055591,0.0,0.0,0.0,0.0
3,Atacama,3304,Huasco,0.0,0.0,0.0,8.87784090909091,0.0,0.0,0.0,8.87784090909091,8.87784090909091,8.87784090909091,0.0
4,Coquimbo,4101,La Serena,0.8011023167879001,0.40055115839395006,0.40055115839395006,0.8011023167879001,1.6022046335758002,2.0027557919697507,1.2016534751818502,3.6049604255455505,4.806613900727401,6.8093696926971505,10.414330118242702
4,Coquimbo,4102,Coquimbo,0.38950668977739694,0.7790133795547939,0.0,0.7790133795547939,1.1685200693321909,1.5580267591095878,2.3370401386643818,3.1160535182191755,3.505560207996573,4.284573587551367,5.453093656883557
4,Coquimbo,4103,Andacollo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.962089729454668,25.443134594182002,16.962089729454668,8.481044864727334
4,Coquimbo,4104,La Higuera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Coquimbo,4105,Paiguano,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Coquimbo,4106,Vicuña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3623617228741467,3.3623617228741467,3.3623617228741467,13.449446891496587
