fecha,id_region,nombre_region,casos_totales,casos_nuevos,casos_nuevos_sintomas,casos_nuevos_nosintomas,fallecidos_totales,fallecidos_nuevos,recuperados_totales,recuperados_nuevos
2020-03-08,3,Atacama,0,0,,,0,0,0.0,0
2020-03-08,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-08,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-08,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-08,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-08,16,Ñuble,0,0,,,0,0,0.0,0
2020-03-08,8,Biobío,0,0,,,0,0,0.0,0
2020-03-08,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-08,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-08,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-08,7,Maule,3,1,,,0,0,0.0,0
2020-03-08,11,Aysén,0,0,,,0,0,0.0,0
2020-03-08,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-08,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-09,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-09,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-09,2,Antofagasta,0,0,,,0,0,0.0,0
2020-03-09,3,Atacama,0,0,,,0,0,0.0,0
2020-03-09,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-09,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-09,13,Metropolitana,7,1,,,0,0,0.0,0
2020-03-09,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-09,7,Maule,4,1,,,0,0,0.0,0
2020-03-09,16,Ñuble,0,0,,,0,0,0.0,0
2020-03-09,8,Biobío,1,1,,,0,0,0.0,0
2020-03-09,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-09,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-09,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-09,11,Aysén,0,0,,,0,0,0.0,0
2020-03-09,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-10,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-10,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-10,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-10,8,Biobío,1,0,,,0,0,0.0,0
2020-03-10,16,Ñuble,0,0,,,0,0,0.0,0
2020-03-10,7,Maule,5,1,,,0,0,0.0,0
2020-03-10,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-10,13,Metropolitana,10,3,,,0,0,0.0,0
2020-03-10,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-10,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-10,3,Atacama,0,0,,,0,0,0.0,0
2020-03-10,2,Antofagasta,0,0,,,0,0,0.0,0
2020-03-10,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-10,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-10,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-10,11,Aysén,0,0,,,0,0,0.0,0
2020-03-11,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-11,11,Aysén,0,0,,,0,0,0.0,0
2020-03-11,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-11,2,Antofagasta,0,0,,,0,0,0.0,0
2020-03-11,3,Atacama,0,0,,,0,0,0.0,0
2020-03-11,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-11,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-11,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-11,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-11,7,Maule,7,2,,,0,0,0.0,0
2020-03-11,16,Ñuble,0,0,,,0,0,0.0,0
2020-03-11,8,Biobío,1,0,,,0,0,0.0,0
2020-03-11,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-11,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-11,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-11,13,Metropolitana,14,4,,,0,0,0.0,0
2020-03-12,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-12,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-12,2,Antofagasta,0,0,,,0,0,0.0,0
2020-03-12,3,Atacama,0,0,,,0,0,0.0,0
2020-03-12,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-12,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-12,13,Metropolitana,23,9,,,0,0,0.0,0
2020-03-12,8,Biobío,1,0,,,0,0,0.0,0
2020-03-12,7,Maule,7,0,,,0,0,0.0,0
2020-03-12,16,Ñuble,1,1,,,0,0,0.0,0
2020-03-12,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-12,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-12,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-12,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-12,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-12,11,Aysén,0,0,,,0,0,0.0,0
2020-03-13,11,Aysén,0,0,,,0,0,0.0,0
2020-03-13,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-13,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-13,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-13,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-13,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-13,16,Ñuble,2,1,,,0,0,0.0,0
2020-03-13,7,Maule,8,1,,,0,0,0.0,0
2020-03-13,8,Biobío,3,2,,,0,0,0.0,0
2020-03-13,13,Metropolitana,29,6,,,0,0,0.0,0
2020-03-13,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-13,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-13,3,Atacama,0,0,,,0,0,0.0,0
2020-03-13,2,Antofagasta,0,0,,,0,0,0.0,0
2020-03-13,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-13,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-14,16,Ñuble,4,2,,,0,0,0.0,0
2020-03-14,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-14,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-14,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-14,8,Biobío,3,0,,,0,0,0.0,0
2020-03-14,7,Maule,9,1,,,0,0,0.0,0
2020-03-14,2,Antofagasta,2,2,,,0,0,0.0,0
2020-03-14,13,Metropolitana,40,11,,,0,0,0.0,0
2020-03-14,5,Valparaíso,0,0,,,0,0,0.0,0
2020-03-14,4,Coquimbo,0,0,,,0,0,0.0,0
2020-03-14,3,Atacama,1,1,,,0,0,0.0,0
2020-03-14,11,Aysén,1,1,,,0,0,0.0,0
2020-03-14,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-14,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-14,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-14,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-15,15,Arica y Parinacota,0,0,,,0,0,0.0,0
2020-03-15,12,Magallanes,0,0,,,0,0,0.0,0
2020-03-15,11,Aysén,1,0,,,0,0,0.0,0
2020-03-15,10,Los Lagos,1,0,,,0,0,0.0,0
2020-03-15,14,Los Ríos,0,0,,,0,0,0.0,0
2020-03-15,9,Araucanía,0,0,,,0,0,0.0,0
2020-03-15,8,Biobío,3,0,,,0,0,0.0,0
2020-03-15,1,Tarapacá,0,0,,,0,0,0.0,0
2020-03-15,7,Maule,9,0,,,0,0,0.0,0
2020-03-15,6,O’Higgins,0,0,,,0,0,0.0,0
2020-03-15,13,Metropolitana,54,14,,,0,0,0.0,0
