id_region,nombre_region,id_comuna,nombre_comuna,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01
4,Coquimbo,4303,Monte Patria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,13.0,13.0,9.0,20.0
4,Coquimbo,4304,Punitaqui,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,6.0,5.0,1.0,0.0,0.0,2.0,3.0
4,Coquimbo,4305,Río Hurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
5,Valparaiso,5101,Valparaíso,15.0,12.0,15.0,18.0,16.0,11.0,34.0,40.0,83.0,78.0,93.0,105.0,93.0,109.0,114.0,153.0
5,Valparaiso,5102,Casablanca,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,10.0,9.0,10.0,10.0,7.0,5.0
5,Valparaiso,5103,Concón,1.0,2.0,1.0,1.0,3.0,4.0,8.0,6.0,6.0,5.0,6.0,11.0,12.0,8.0,6.0,15.0
5,Valparaiso,5104,Juan Fernández,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5105,Puchuncaví,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,1.0,3.0
5,Valparaiso,5107,Quintero,0.0,0.0,0.0,0.0,3.0,6.0,4.0,1.0,4.0,4.0,10.0,15.0,9.0,10.0,11.0,20.0
5,Valparaiso,5109,Viña del Mar,15.0,12.0,14.0,18.0,17.0,17.0,23.0,29.0,51.0,69.0,103.0,122.0,132.0,120.0,136.0,186.0
5,Valparaiso,5201,Isla de Pascua,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5301,Los Andes,3.0,4.0,4.0,4.0,1.0,0.0,2.0,2.0,8.0,16.0,17.0,18.0,43.0,50.0,56.0,49.0
5,Valparaiso,5302,Calle Larga,2.0,2.0,3.0,4.0,2.0,1.0,0.0,0.0,4.0,4.0,5.0,2.0,9.0,10.0,20.0,17.0
5,Valparaiso,5303,Rinconada,2.0,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7.0,13.0,15.0,16.0
5,Valparaiso,5304,San Esteban,0.0,0.0,0.0,1.0,1.0,3.0,2.0,2.0,2.0,5.0,5.0,3.0,4.0,6.0,4.0,4.0
5,Valparaiso,5401,La Ligua,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,5.0,6.0,7.0,4.0
