id_region,nombre_region,id_comuna,nombre_comuna,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08
4,Coquimbo,4103,Andacollo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,4.0,2.0
4,Coquimbo,4104,La Higuera,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,-1.0
4,Coquimbo,4105,Paiguano,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0
4,Coquimbo,4106,Vicuña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,3.0,2.0,2.0,0.0,3.0,2.0
4,Coquimbo,4201,Illapel,0.0,0.0,7.0,5.0,1.0,4.0,2.0,0.0,-1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,12.0
4,Coquimbo,4202,Canela,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0
4,Coquimbo,4203,Los Vilos,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0
4,Coquimbo,4204,Salamanca,0.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,-2.0,1.0,1.0,2.0,5.0,3.0,15.0
4,Coquimbo,4301,Ovalle,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,5.0,8.0,11.0,13.0,11.0,11.0,27.0,40.0,34.0,86.0
4,Coquimbo,4302,Combarbalá,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,1.0,2.0,5.0,0.0,6.0
4,Coquimbo,4303,Monte Patria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,13.0,3.0,9.0,14.0,12.0,13.0
4,Coquimbo,4304,Punitaqui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,2.0,1.0,2.0,1.0,3.0,9.0
4,Coquimbo,4305,Río Hurtado,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0
5,Valparaiso,5101,Valparaíso,10.0,-3.0,3.0,10.0,3.0,5.0,1.0,6.0,8.0,8.0,1.0,27.0,14.0,60.0,21.0,65.0,45.0,54.0,58.0,70.0,111.0,172.0,157.0
5,Valparaiso,5102,Casablanca,0.0,1.0,1.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,0.0,8.0,0.0,2.0,3.0,9.0,8.0
5,Valparaiso,5103,Concón,0.0,6.0,0.0,-4.0,0.0,3.0,1.0,0.0,0.0,6.0,1.0,5.0,1.0,3.0,2.0,4.0,8.0,6.0,1.0,5.0,17.0,6.0,18.0
5,Valparaiso,5104,Juan Fernández,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5105,Puchuncaví,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,8.0,3.0,6.0
5,Valparaiso,5107,Quintero,0.0,-1.0,0.0,1.0,1.0,1.0,-1.0,0.0,0.0,2.0,3.0,1.0,0.0,4.0,2.0,7.0,6.0,4.0,8.0,15.0,23.0,18.0,25.0
5,Valparaiso,5109,Viña del Mar,9.0,9.0,6.0,13.0,3.0,3.0,3.0,9.0,10.0,9.0,6.0,14.0,12.0,33.0,32.0,75.0,52.0,81.0,68.0,113.0,135.0,137.0,131.0
5,Valparaiso,5201,Isla de Pascua,4.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Valparaiso,5301,Los Andes,1.0,-1.0,0.0,4.0,0.0,0.0,1.0,2.0,0.0,-3.0,1.0,2.0,0.0,6.0,10.0,3.0,7.0,37.0,20.0,36.0,18.0,48.0,79.0
5,Valparaiso,5302,Calle Larga,0.0,2.0,0.0,-1.0,1.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,8.0,3.0,13.0,8.0,17.0,20.0
5,Valparaiso,5303,Rinconada,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,5.0,8.0,8.0,8.0,14.0,5.0
5,Valparaiso,5304,San Esteban,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,3.0,1.0,2.0,3.0,3.0,1.0,2.0,9.0,14.0
5,Valparaiso,5401,La Ligua,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,4.0,1.0,6.0,0.0,13.0,18.0
5,Valparaiso,5402,Cabildo,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,2.0,2.0,5.0,0.0,6.0,8.0
5,Valparaiso,5403,Papudo,0.0,1.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,2.0
5,Valparaiso,5404,Petorca,1.0,0.0,4.0,-1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,3.0,1.0,6.0,0.0
5,Valparaiso,5405,Zapallar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
5,Valparaiso,5501,Quillota,1.0,2.0,0.0,4.0,0.0,3.0,2.0,1.0,1.0,2.0,0.0,2.0,2.0,2.0,3.0,8.0,9.0,8.0,3.0,7.0,14.0,27.0,31.0
5,Valparaiso,5502,Calera,,,0.0,2.0,0.0,0.0,2.0,2.0,3.0,6.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,8.0,3.0,9.0,13.0,18.0,12.0
5,Valparaiso,5503,Hijuelas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,7.0,5.0,11.0,4.0
5,Valparaiso,5504,La Cruz,1.0,2.0,0.0,-1.0,0.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,4.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,5.0,3.0
5,Valparaiso,5506,Nogales,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,4.0,3.0,2.0,2.0,5.0,4.0
5,Valparaiso,5601,San Antonio,2.0,4.0,1.0,0.0,4.0,4.0,2.0,9.0,6.0,12.0,7.0,19.0,14.0,39.0,22.0,44.0,34.0,55.0,6.0,73.0,30.0,83.0,66.0
5,Valparaiso,5602,Algarrobo,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,5.0,4.0,9.0,1.0,3.0,6.0,6.0,9.0
5,Valparaiso,5603,Cartagena,0.0,0.0,1.0,-1.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,5.0,1.0,6.0,2.0,8.0,5.0,6.0,4.0,8.0,7.0
5,Valparaiso,5604,El Quisco,0.0,1.0,0.0,0.0,0.0,2.0,1.0,2.0,2.0,3.0,0.0,0.0,1.0,4.0,2.0,5.0,3.0,4.0,3.0,11.0,7.0,15.0,3.0
5,Valparaiso,5605,El Tabo,0.0,2.0,0.0,-1.0,0.0,0.0,1.0,3.0,0.0,3.0,0.0,4.0,0.0,1.0,2.0,7.0,1.0,5.0,2.0,6.0,4.0,20.0,9.0
5,Valparaiso,5606,Santo Domingo,1.0,-2.0,1.0,3.0,0.0,0.0,5.0,1.0,1.0,5.0,0.0,2.0,3.0,-1.0,4.0,4.0,4.0,2.0,0.0,3.0,3.0,9.0,7.0
5,Valparaiso,5701,San Felipe,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,13.0,7.0,35.0,15.0,25.0,17.0,58.0,80.0
5,Valparaiso,5702,Catemu,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,3.0,0.0,7.0,10.0
