id_region,nombre_region,id_comuna,nombre_comuna,2020-03-30,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05,2020-06-08,2020-06-12
1,Tarapaca,1101,Iquique,2.2375068803336573,4.027512384600583,4.475013760667315,5.817517888867508,7.1600220170677025,8.055024769201166,11.635035777735016,11.635035777735016,13.872542658068673,16.110049538402333,25.95507981187042,33.562603205004855,40.275123846005826,54.59516788014123,113.21784814488304,137.83042382855328,196.90060546936184,272.97583940070615,363.3711173661859,425.57380863946156,545.0566760492788,647.5344911685604,760.7523393134434,852.0426200310566,958.5479475349388
1,Tarapaca,1107,Alto Hospicio,0.0,0.7692366864360495,2.3077100593081483,3.846183432180248,4.615420118616297,7.692366864360496,10.769313610104694,11.538550296540743,12.307786982976792,20.769390533773336,30.00023077100593,42.308017753982725,59.23122485557581,98.46229586381433,123.84710651620397,144.6164970499773,212.30932545634965,291.54070415926276,387.6952899637689,454.61888168370524,572.3120947084209,706.9285148347295,816.9293609950846,952.3150178078292,1034.6233432564866
1,Tarapaca,1401,Pozo Almonte,0.0,0.0,0.0,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,11.497556769186549,17.24633515377982,22.995113538373097,28.74389192296637,40.241448692152915,57.48778384593274,114.97556769186548,160.96579476861166,270.1925840758839,396.66570853693594,523.138832997988,695.6021845357861,1103.7654498419085
1,Tarapaca,1402,Camiña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.45454545454544,290.9090909090909,581.8181818181818,727.2727272727273,727.2727272727273
1,Tarapaca,1403,Colchane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.17119393556538,63.17119393556538,252.6847757422615,315.8559696778269,631.7119393556538
1,Tarapaca,1404,Huara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,200.0,300.0,433.3333333333333,500.0,600.0,633.3333333333334,1000.0,1033.3333333333333,1100.0,1233.3333333333333,1333.3333333333335
1,Tarapaca,1405,Pica,0.0,0.0,0.0,16.784155756965426,33.56831151393085,83.92077878482712,167.84155756965424,318.8989593823431,402.8197381671702,469.9563611950319,520.3088284659282,520.3088284659282,520.3088284659282,520.3088284659282,587.44545149379,621.0137630077207,621.0137630077207,654.5820745216516,621.0137630077207,654.5820745216516,755.2870090634442,855.9919436052367,956.6968781470291,990.2651896609601,1007.0493454179255
2,Antofagasta,2101,Antofagasta,6.811909096247578,7.516589347583534,10.33531035292736,12.684244524047212,14.093605026719127,19.261260203182804,24.898702213870454,28.656996887662224,34.05954548123789,43.22038874860532,61.307181866228206,71.17270538493159,88.7897116683305,112.51394679664102,141.17094368430324,154.5598684596864,198.01515062540372,234.42363027776145,267.7784955076634,291.9725174701979,327.6763168712197,364.08479652357744,401.66774326149505,440.66005050208463,494.6855364378413
2,Antofagasta,2102,Mejillones,0.0,0.0,0.0,6.7677314564158095,13.535462912831619,40.60638873849486,81.21277747698971,94.74824038982133,128.58689767190037,182.72874932322685,291.0124526258798,439.90254466702766,521.1153221440173,852.734163508392,906.8760151597185,1015.1597184623714,1177.5852734163507,1292.6367081754197,1529.5073091499728,1536.2750406063888,1651.3264753654576,1773.145641580942,1847.590687601516,1888.1970763400109,1894.9648077964266
2,Antofagasta,2103,Sierra Gorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5475372279496,114.5475372279496,400.91638029782354,515.4639175257732,630.0114547537228,744.5589919816723,744.5589919816723,801.8327605956471,916.3802978235968,1202.749140893471,1489.1179839633446
2,Antofagasta,2104,Taltal,0.0,0.0,0.0,0.0,7.322252324815113,21.96675697444534,21.96675697444534,51.25576627370579,51.25576627370579,51.25576627370579,51.25576627370579,51.25576627370579,51.25576627370579,58.578018598520906,58.578018598520906,65.90027092333602,117.15603719704181,124.47828952185692,168.4118034707476,183.05630812037782,190.37856044519293,241.6343267188987,270.92333601815915,270.92333601815915,300.21234531741965
2,Antofagasta,2201,Calama,1.5761600537995966,1.5761600537995966,2.6269334229993277,3.6777067921990585,4.203093476798924,6.830026899798252,10.507733691997311,11.033120376597175,11.033120376597175,13.134667114996637,18.388533960995293,28.370880968392736,37.30245460659045,44.1324815063887,53.589441829186285,59.894082044384675,88.2649630127774,111.90736381977136,133.44821788836583,158.6667787491594,218.0354741089442,255.33792871553464,328.8920645595158,397.19233355749833,597.8900470746469
2,Antofagasta,2202,Ollagüe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
