id_region,nombre_region,id_comuna,nombre_comuna,2020-04-01,2020-04-03,2020-04-06,2020-04-08,2020-04-10,2020-04-13,2020-04-15,2020-04-17,2020-04-20,2020-04-24,2020-04-27,2020-05-01,2020-05-04,2020-05-08,2020-05-11,2020-05-15,2020-05-18,2020-05-22,2020-05-25,2020-05-29,2020-06-01,2020-06-05
1,Tarapaca,1101,Iquique,1.7900055042669256,0.4475013760667314,1.3425041282001942,1.3425041282001942,0.8950027521334628,3.5800110085338512,0.0,2.2375068803336573,2.2375068803336573,9.84503027346809,7.607523393134434,6.712520641000971,14.320044034135405,58.62268026474182,24.61257568367023,59.07018164080855,76.07523393134434,90.39527796547974,62.20269127327567,119.48286740981729,102.47781511928149,113.21784814488304
1,Tarapaca,1107,Alto Hospicio,0.7692366864360495,1.538473372872099,1.538473372872099,0.7692366864360495,3.076946745744198,3.076946745744198,0.7692366864360495,0.7692366864360495,8.461603550796545,9.230840237232593,12.307786982976792,16.92320710159309,39.23107100823852,25.384810652389636,20.769390533773336,67.69282840637236,79.2313787029131,96.1545858045062,66.9235917199363,117.69321302471559,134.61642012630867,110.00084616035507
1,Tarapaca,1401,Pozo Almonte,0.0,0.0,11.497556769186549,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.748778384593274,5.748778384593274,5.748778384593274,11.497556769186549,17.24633515377982,57.48778384593274,45.990227076746194,109.2267893072722,126.47312446105202,126.47312446105202
1,Tarapaca,1402,Camiña,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.45454545454544,145.45454545454544,290.9090909090909
1,Tarapaca,1403,Colchane,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.17119393556538,0.0,189.51358180669615
1,Tarapaca,1404,Huara,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,133.33333333333334,66.66666666666667,100.0,33.333333333333336,366.6666666666667,33.333333333333336,66.66666666666667
1,Tarapaca,1405,Pica,0.0,0.0,16.784155756965426,16.784155756965426,50.35246727089628,83.92077878482712,151.05740181268882,83.92077878482712,67.1366230278617,50.35246727089628,0.0,0.0,0.0,67.1366230278617,33.56831151393085,0.0,33.56831151393085,-33.56831151393085,33.56831151393085,100.70493454179255,100.70493454179255,100.70493454179255
2,Antofagasta,2101,Antofagasta,0.7046802513359564,2.8187210053438254,2.348934171119854,1.4093605026719127,5.16765517646368,5.637442010687651,3.758294673791767,5.402548593575665,9.160843267367433,18.08679311762288,9.865523518703387,17.617006283398908,23.72423512831053,28.656996887662224,13.38892477538317,43.45528216571731,36.40847965235774,33.35486522990193,24.1940219625345,35.70379940102179,36.40847965235774,37.582946737917666
2,Antofagasta,2102,Mejillones,0.0,0.0,6.7677314564158095,6.7677314564158095,27.070925825663238,40.60638873849486,13.535462912831619,33.83865728207905,54.141851651326476,108.28370330265295,148.8900920411478,81.21277747698971,331.61884136437465,54.141851651326476,108.28370330265295,162.42555495397943,115.05143475906875,236.87060097455333,6.7677314564158095,115.05143475906875,121.81916621548457,74.4450460205739
2,Antofagasta,2103,Sierra Gorda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114.5475372279496,0.0,286.368843069874,114.5475372279496,114.5475372279496,114.5475372279496,0.0,57.2737686139748,114.5475372279496
2,Antofagasta,2104,Taltal,0.0,0.0,0.0,7.322252324815113,14.644504649630226,0.0,29.289009299260453,0.0,0.0,0.0,0.0,0.0,7.322252324815113,0.0,7.322252324815113,51.25576627370579,7.322252324815113,43.93351394889068,14.644504649630226,7.322252324815113,51.25576627370579,29.289009299260453
2,Antofagasta,2201,Calama,0.0,1.050773369199731,1.050773369199731,0.5253866845998655,2.6269334229993277,3.6777067921990585,0.5253866845998655,0.0,2.101546738399462,5.2538668459986555,9.982347007397443,8.931573638197714,6.830026899798252,9.45696032279758,6.304640215198386,28.370880968392736,23.642400806993948,21.540854068594484,25.218560860793545,59.3686953597848,37.30245460659045,73.55413584398117
2,Antofagasta,2202,Ollagüe,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Antofagasta,2203,San Pedro de Atacama,9.584052137243626,9.584052137243626,9.584052137243626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.584052137243626,0.0,28.75215641173088,0.0,9.584052137243626
2,Antofagasta,2301,Tocopilla,0.0,0.0,0.0,0.0,0.0,3.561380391039567,10.6841411731187,17.806901955197837,0.0,0.0,0.0,3.561380391039567,3.561380391039567,3.561380391039567,3.561380391039567,14.245521564158269,17.806901955197837,3.561380391039567,10.6841411731187,7.122760782079134,7.122760782079134,10.6841411731187
2,Antofagasta,2302,María Elena,0.0,0.0,0.0,0.0,0.0,14.6756677428823,14.6756677428823,29.3513354857646,29.3513354857646,14.6756677428823,88.05400645729381,249.48635162899913,73.37833871441151,176.10801291458762,29.3513354857646,513.6483710008805,410.9186968007044,293.51335485764605,220.13501614323454,102.7296742001761,44.027003228646905,44.027003228646905
