ORDEN,REGION,nombre_region,id_region,PROVINCIA,nombre_provincia,id_provincia,COMUNA,id_comuna,edad_rango,hombres,mujeres,total_poblacion,nombre_comuna
40,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,85 a 89,619,999,"1,618",Arica
41,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,90 a 94,208,396,604,Arica
42,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,95 a 99,34,119,153,Arica
43,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,ARICA,15101,100 o más,10,40,50,Arica
44,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,Total Comunal,726,529,"1,255",Camarones
45,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,0 a 4,32,29,61,Camarones
46,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,5 a 9,38,30,68,Camarones
47,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,10 a 14,34,31,65,Camarones
48,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,15 a 19,29,20,49,Camarones
49,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,20 a 24,46,26,72,Camarones
50,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,25 a 29,65,39,104,Camarones
51,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,30 a 34,52,41,93,Camarones
52,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,35 a 39,51,33,84,Camarones
53,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,40 a 44,59,30,89,Camarones
54,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,45 a 49,48,34,82,Camarones
55,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,50 a 54,56,40,96,Camarones
56,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,55 a 59,57,41,98,Camarones
57,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,60 a 64,54,34,88,Camarones
58,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,65 a 69,39,42,81,Camarones
59,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,70 a 74,28,27,55,Camarones
60,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,75 a 79,20,11,31,Camarones
61,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,80 a 84,10,8,18,Camarones
62,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,85 a 89,5,7,12,Camarones
63,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,90 a 94,2,4,6,Camarones
64,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,95 a 99,0,2,2,Camarones
65,ARICA Y PARINACOTA,Arica Y Parinacota,15,ARICA,Arica,151,CAMARONES,15102,100 o más,1,0,1,Camarones
66,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,Total Comunal,2054,711,"2,765",Putre
67,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,0 a 4,42,38,80,Putre
68,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,5 a 9,44,44,88,Putre
69,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,10 a 14,45,37,82,Putre
70,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,15 a 19,465,27,492,Putre
71,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,20 a 24,243,52,295,Putre
72,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,25 a 29,191,59,250,Putre
73,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,30 a 34,189,65,254,Putre
74,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,35 a 39,189,54,243,Putre
75,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,40 a 44,164,57,221,Putre
76,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,45 a 49,126,45,171,Putre
77,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,50 a 54,95,38,133,Putre
78,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,55 a 59,91,39,130,Putre
79,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,60 a 64,54,37,91,Putre
80,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,65 a 69,35,29,64,Putre
81,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,70 a 74,29,28,57,Putre
82,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,75 a 79,26,28,54,Putre
83,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,80 a 84,15,17,32,Putre
84,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,85 a 89,9,12,21,Putre
85,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,90 a 94,1,3,4,Putre
86,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,95 a 99,1,1,2,Putre
87,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,PUTRE,15201,100 o más,0,1,1,Putre
88,ARICA Y PARINACOTA,Arica Y Parinacota,15,PARINACOTA,Parinacota,152,GENERAL LAGOS,15202,Total Comunal,412,272,684,General Lagos
