Country;Fiscal_Stimulus_%_GDP
Japan;2.2
US;5.9
Australia;4.1
Canada;2.8
Brazil;0.5
France;0.7
Germany;4
EU;1.5
Argentina;2.5
Saudi Arabia;11
Russia;1.7
Indonesia;2.5
China;8
Turkey;6
Italy;5
India;4.1
Mexico;1
