Country;Fiscal_Stimulus_%_GDP
Japan;18.9
US;7.5
Australia;5.8
Canada;5.6
Brazil;5.1
France;4.3
Germany;2.5
EU;1.1
Argentina;1
Saudi Arabia;0.9
Russia;0.1
Indonesia;-0.3
China;-3.3
Turkey;-3.6
Italy;-4.5
India;-5.5
Mexico;-8.2
