Country;Fiscal_Stimulus_%_GDP
Japan;237.5
US;106.7
Australia;41
Canada;88
Brazil;90.3
France;99.1
Germany;56.934
EU;80.4
Argentina;75.9
Saudi Arabia;23.7
Russia;13.78
Indonesia;29.28
China;55.36
Turkey;29.92
Italy;133.42
India;69.03
Mexico;54.11
