id_reg,nombre_reg,casos_nuevos,casos_totales,fallecidos_nuevos,fallecidos_totales,recuperados_nuevos,recuperados_totales,Fecha
2,Antofagasta,0,0,0,0,0,0,2020-03-04
3,Atacama,0,0,0,0,0,0,2020-03-04
4,Coquimbo,0,0,0,0,0,0,2020-03-04
5,Vaparaiso,0,0,0,0,0,0,2020-03-04
13,Metropolitana,1,1,0,0,0,0,2020-03-04
6,Ohiggins,0,0,0,0,0,0,2020-03-04
7,Maule,1,2,0,0,0,0,2020-03-04
16,Nuble,0,0,0,0,0,0,2020-03-04
8,Biobio,0,0,0,0,0,0,2020-03-04
9,Araucania,0,0,0,0,0,0,2020-03-04
14,LosRios,0,0,0,0,0,0,2020-03-04
10,LosLagos,0,0,0,0,0,0,2020-03-04
11,Aysen,0,0,0,0,0,0,2020-03-04
12,Magallanes,0,0,0,0,0,0,2020-03-04
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-05
1,Tarapaca,0,0,0,0,0,0,2020-03-05
2,Antofagasta,0,0,0,0,0,0,2020-03-05
3,Atacama,0,0,0,0,0,0,2020-03-05
4,Coquimbo,0,0,0,0,0,0,2020-03-05
5,Vaparaiso,0,0,0,0,0,0,2020-03-05
13,Metropolitana,1,2,0,0,0,0,2020-03-05
6,Ohiggins,0,0,0,0,0,0,2020-03-05
7,Maule,0,2,0,0,0,0,2020-03-05
16,Nuble,0,0,0,0,0,0,2020-03-05
8,Biobio,0,0,0,0,0,0,2020-03-05
9,Araucania,0,0,0,0,0,0,2020-03-05
14,LosRios,0,0,0,0,0,0,2020-03-05
10,LosLagos,0,0,0,0,0,0,2020-03-05
11,Aysen,0,0,0,0,0,0,2020-03-05
12,Magallanes,0,0,0,0,0,0,2020-03-05
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-06
1,Tarapaca,0,0,0,0,0,0,2020-03-06
2,Antofagasta,0,0,0,0,0,0,2020-03-06
3,Atacama,0,0,0,0,0,0,2020-03-06
4,Coquimbo,0,0,0,0,0,0,2020-03-06
5,Vaparaiso,0,0,0,0,0,0,2020-03-06
13,Metropolitana,1,3,0,0,0,0,2020-03-06
6,Ohiggins,0,0,0,0,0,0,2020-03-06
7,Maule,0,2,0,0,0,0,2020-03-06
16,Nuble,0,0,0,0,0,0,2020-03-06
8,Biobio,0,0,0,0,0,0,2020-03-06
9,Araucania,0,0,0,0,0,0,2020-03-06
14,LosRios,0,0,0,0,0,0,2020-03-06
10,LosLagos,0,0,0,0,0,0,2020-03-06
11,Aysen,0,0,0,0,0,0,2020-03-06
12,Magallanes,0,0,0,0,0,0,2020-03-06
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-07
1,Tarapaca,0,0,0,0,0,0,2020-03-07
2,Antofagasta,0,0,0,0,0,0,2020-03-07
3,Atacama,0,0,0,0,0,0,2020-03-07
4,Coquimbo,0,0,0,0,0,0,2020-03-07
5,Vaparaiso,0,0,0,0,0,0,2020-03-07
13,Metropolitana,1,4,0,0,0,0,2020-03-07
6,Ohiggins,0,0,0,0,0,0,2020-03-07
7,Maule,0,2,0,0,0,0,2020-03-07
16,Nuble,0,0,0,0,0,0,2020-03-07
8,Biobio,0,0,0,0,0,0,2020-03-07
9,Araucania,0,0,0,0,0,0,2020-03-07
14,LosRios,0,0,0,0,0,0,2020-03-07
10,LosLagos,1,1,0,0,0,0,2020-03-07
11,Aysen,0,0,0,0,0,0,2020-03-07
12,Magallanes,0,0,0,0,0,0,2020-03-07
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-08
1,Tarapaca,0,0,0,0,0,0,2020-03-08
2,Antofagasta,0,0,0,0,0,0,2020-03-08
3,Atacama,0,0,0,0,0,0,2020-03-08
4,Coquimbo,0,0,0,0,0,0,2020-03-08
5,Vaparaiso,0,0,0,0,0,0,2020-03-08
13,Metropolitana,2,6,0,0,0,0,2020-03-08
6,Ohiggins,0,0,0,0,0,0,2020-03-08
7,Maule,1,3,0,0,0,0,2020-03-08
16,Nuble,0,0,0,0,0,0,2020-03-08
8,Biobio,0,0,0,0,0,0,2020-03-08
9,Araucania,0,0,0,0,0,0,2020-03-08
14,LosRios,0,0,0,0,0,0,2020-03-08
10,LosLagos,0,1,0,0,0,0,2020-03-08
11,Aysen,0,0,0,0,0,0,2020-03-08
12,Magallanes,0,0,0,0,0,0,2020-03-08
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-09
1,Tarapaca,0,0,0,0,0,0,2020-03-09
2,Antofagasta,0,0,0,0,0,0,2020-03-09
3,Atacama,0,0,0,0,0,0,2020-03-09
4,Coquimbo,0,0,0,0,0,0,2020-03-09
5,Vaparaiso,0,0,0,0,0,0,2020-03-09
13,Metropolitana,1,7,0,0,0,0,2020-03-09
6,Ohiggins,0,0,0,0,0,0,2020-03-09
7,Maule,1,4,0,0,0,0,2020-03-09
16,Nuble,0,0,0,0,0,0,2020-03-09
8,Biobio,1,1,0,0,0,0,2020-03-09
9,Araucania,0,0,0,0,0,0,2020-03-09
14,LosRios,0,0,0,0,0,0,2020-03-09
10,LosLagos,0,1,0,0,0,0,2020-03-09
11,Aysen,0,0,0,0,0,0,2020-03-09
12,Magallanes,0,0,0,0,0,0,2020-03-09
15,Arica y Parinacota,0,0,0,0,0,0,2020-03-10
1,Tarapaca,0,0,0,0,0,0,2020-03-10
2,Antofagasta,0,0,0,0,0,0,2020-03-10
3,Atacama,0,0,0,0,0,0,2020-03-10
4,Coquimbo,0,0,0,0,0,0,2020-03-10
5,Vaparaiso,0,0,0,0,0,0,2020-03-10
